TimeS,Sunrise,Sunset,TFLatN,TFLatS,TFNoonN,TFNoonS,SST1,SST1Depth,SST1Time,TFLatErrN,TFLatErrS,TFLonErrN,TFLonErrS,MinIntTemp,WetDryChange,MaxPress,TRLon,TRLat,TFLonN,TFLonS,
06/06/12,,,100.00,100.00,00:00,00:00,45.00,2000.00,0,38.70,2.10,1000000.00,3.70,20.08,1,0.00,200.00,100.00,179.70,179.70,
07/06/12,13:45,29:19,53.00,52.90,20:54,21:15,45.00,2000.00,0,15.80,12.70,23.10,19.50,16.90,1,0.00,-143.20,40.60,-133.70,-139.00,
08/06/12,07:28,29:27,52.60,52.40,15:20,15:24,45.00,2000.00,0,10.00,14.00,6.90,9.70,15.88,1,0.00,-97.10,62.80,-50.20,-51.20,
09/06/12,02:40,25:08,52.60,53.80,15:07,15:08,45.00,2000.00,0,13.40,3.70,8.80,4.70,14.68,1,0.00,-28.70,63.10,-46.90,-47.20,
10/06/12,03:33,27:11,68.50,68.50,15:06,15:06,45.00,2000.00,0,17.90,17.90,36.50,36.50,23.14,1,0.00,-50.60,63.50,-46.60,-46.60,
11/06/12,22:56,46:42,4.80,-28.40,26:50,26:44,45.00,2000.00,0,13.40,12.40,2.90,2.50,4.92,1,0.00,17.70,63.50,137.50,139.00,
12/06/12,08:32,30:38,100.00,100.00,00:00,00:00,45.00,2000.00,0,38.70,67.00,2.90,1000000.00,3.26,1,0.00,-113.70,62.40,180.00,180.00,
13/06/12,02:08,26:34,100.00,100.00,00:00,00:00,45.00,2000.00,0,38.70,38.70,2.90,1000000.00,3.92,1,0.00,-35.20,63.10,-180.00,-180.00,
14/06/12,22:56,45:19,32.30,22.90,35:09,35:09,45.00,2000.00,0,8.40,6.70,2.60,1.70,5.28,1,0.00,28.30,62.80,12.90,12.90,
15/06/12,02:08,24:57,32.30,22.90,11:09,11:09,45.00,2000.00,0,8.30,6.60,2.60,1.70,4.64,1,0.00,-23.00,62.80,12.90,12.90,
16/06/12,06:26,22:33,50.90,50.30,14:27,14:28,45.00,2000.00,0,18.60,17.30,11.80,10.50,4.72,1,0.00,-37.20,44.10,-36.50,-36.80,
17/06/12,01:43,24:14,63.20,63.20,12:59,12:59,45.00,2000.00,0,2.70,2.70,13.30,13.30,3.46,1,0.00,-14.40,62.80,-14.50,-14.50,
18/06/12,16:00,39:31,68.10,68.10,27:57,27:57,45.00,2000.00,0,23.70,23.70,36.50,36.50,4.18,1,0.00,124.00,63.10,121.10,121.10,
19/06/12,22:56,47:20,65.70,65.70,33:28,33:28,45.00,2000.00,0,1.10,1.10,51.60,51.60,4.02,1,0.00,13.40,63.10,38.40,38.40,
20/06/12,20:48,42:17,56.60,56.60,31:20,31:20,45.00,2000.00,0,3.40,3.40,7.70,7.70,3.88,1,0.00,67.30,61.70,70.50,70.50,
21/06/12,01:36,18:17,100.00,100.00,00:00,00:00,45.00,2000.00,0,3.10,38.70,7.10,7.70,4.18,1,0.00,31.30,48.00,-179.60,-179.60,
22/06/12,20:53,42:56,51.70,49.10,34:56,34:58,45.00,2000.00,0,10.70,12.00,7.50,6.90,3.98,1,0.00,61.90,62.40,16.60,16.10,
23/06/12,22:14,44:12,61.50,61.50,33:28,33:28,45.00,2000.00,0,2.60,2.60,13.80,13.80,3.92,1,0.00,42.40,62.40,38.60,38.60,
24/06/12,01:04,20:12,56.10,56.10,10:12,10:12,45.00,2000.00,0,3.20,3.20,6.80,6.80,3.78,1,0.00,21.10,57.80,27.60,27.60,
25/06/12,04:30,26:57,60.00,60.00,14:55,14:55,45.00,2000.00,0,1.90,1.90,7.10,7.10,3.74,1,0.00,-55.20,62.80,-43.10,-43.10,
26/06/12,20:17,43:38,68.40,68.40,32:13,32:13,45.00,2000.00,0,47.40,47.40,51.60,51.60,3.74,1,0.00,61.40,63.10,57.50,57.50,
27/06/12,00:00,24:31,67.80,67.80,11:21,11:21,45.00,2000.00,0,67.00,67.00,1000000.00,1000000.00,4.12,1,0.00,-3.10,63.50,10.50,10.50,
28/06/12,00:32,24:50,67.00,67.00,14:01,14:01,45.00,2000.00,0,1.10,1.10,23.10,23.10,4.10,1,0.00,-9.40,63.50,-29.40,-29.40,
29/06/12,20:48,44:20,66.60,66.60,34:03,34:03,45.00,2000.00,0,1.70,1.70,51.60,51.60,6.56,1,0.00,52.40,63.50,30.20,30.20,
30/06/12,22:24,44:52,65.00,65.00,32:37,32:37,45.00,2000.00,0,4.10,4.10,1000000.00,1000000.00,5.86,1,0.00,36.50,63.10,51.70,51.70,
01/07/12,00:32,24:20,60.10,60.10,10:01,10:01,45.00,2000.00,0,4.10,4.10,1000000.00,1000000.00,6.06,1,0.00,-5.50,63.80,30.70,30.70,
02/07/12,01:05,25:03,65.50,65.50,13:41,13:41,45.00,2000.00,0,5.00,5.00,1000000.00,1000000.00,5.34,1,0.00,-15.00,63.80,-24.20,-24.20,
03/07/12,23:12,47:27,67.50,67.50,34:47,34:47,45.00,2000.00,0,2.20,2.20,51.60,51.60,4.96,1,0.00,11.20,63.80,19.40,19.40,
04/07/12,05:20,28:17,52.80,52.80,15:10,15:10,45.00,2000.00,0,16.80,16.80,11.50,11.50,3.08,1,0.00,-71.00,63.80,-46.40,-46.40,
05/07/12,02:40,27:11,63.70,63.70,15:59,15:59,45.00,2000.00,0,2.80,2.80,13.30,13.30,3.92,1,0.00,-42.70,64.20,-58.60,-58.60,
06/07/12,00:32,25:02,68.70,68.70,11:00,11:00,45.00,2000.00,0,1000000.00,1000000.00,1000000.00,1000000.00,3.48,1,0.00,-10.50,64.20,16.20,16.20,
07/07/12,21:20,42:58,100.00,100.00,00:00,00:00,,45.00,2000.00,0,38.70,1000000.00,1000000.00,1000000.00,4.94,1,0.00,59.00,63.10,-178.80,200.00,
08/07/12,00:32,18:58,61.30,60.80,09:21,09:16,45.00,2000.00,0,2.50,3.50,9.70,12.20,5.52,1,0.00,35.00,57.10,41.00,42.30,
09/07/12,07:11,18:30,-20.70,-26.40,12:58,12:59,5.22,0.00,1390,23.70,17.90,4.50,3.30,1.20,14,74.22,-11.30,-21.60,-13.20,-13.40,
10/07/12,17:04,41:10,53.70,53.70,29:23,29:23,3.80,0.00,34,6.50,6.50,4.20,4.20,0.98,32,99.72,104.60,64.90,100.60,100.60,
11/07/12,05:20,29:51,54.90,54.90,17:23,17:23,4.24,0.00,550,7.80,7.80,9.70,9.70,0.84,48,95.03,-82.50,64.90,-79.40,-79.40,
12/07/12,14:56,39:18,54.70,54.70,27:15,27:15,2.10,19.82,1,7.40,7.40,8.10,8.10,1.20,57,79.92,134.70,65.20,132.70,132.70,
13/07/12,16:33,41:03,67.30,67.30,28:21,28:21,3.48,0.00,202,5.90,5.90,1000000.00,1000000.00,1.20,80,92.13,109.50,65.20,116.20,116.20,
14/07/12,19:44,44:05,49.90,49.90,31:23,31:23,4.06,0.00,476,12.20,12.20,6.00,6.00,1.10,108,111.53,62.90,65.60,70.80,70.80,
15/07/12,20:53,45:05,56.70,56.70,32:47,32:47,1.84,10.73,1401,4.70,4.70,7.20,7.20,1.14,130,97.33,46.80,65.60,49.80,49.80,
16/07/12,12:16,36:27,54.80,54.80,24:19,24:19,2.10,2.33,47,14.00,14.00,9.60,9.60,1.16,166,102.33,176.20,65.90,176.80,176.80,
17/07/12,12:16,36:47,60.20,60.20,25:23,25:23,2.06,13.23,408,2.90,2.90,7.50,7.50,0.90,188,79.53,173.70,65.90,160.80,160.80,
18/07/12,15:40,39:59,60.20,60.20,27:54,27:54,2.04,34.13,293,5.20,5.20,13.30,13.30,1.26,206,81.33,124.20,66.30,123.10,123.10,
19/07/12,22:56,47:27,46.40,46.40,34:48,34:48,1.50,46.23,64,21.20,21.20,8.50,8.50,1.22,234,83.42,13.70,66.30,19.60,19.60,
20/07/12,21:52,45:56,63.20,63.20,33:27,33:27,5.88,0.00,1359,2.40,2.40,9.60,9.60,1.22,250,122.72,33.10,66.60,39.90,39.90,
21/07/12,20:24,44:47,56.30,56.30,32:44,32:44,6.20,0.00,83,6.20,6.20,6.00,6.00,1.14,286,105.22,52.70,66.60,50.60,50.60,
22/07/12,16:32,41:03,62.20,62.20,29:02,29:02,3.74,0.00,363,3.70,3.70,10.50,10.50,1.16,318,99.53,109.80,67.00,106.10,106.10,
23/07/12,16:33,41:03,52.80,52.80,28:57,28:57,2.22,5.33,181,16.80,16.80,8.70,8.70,1.02,344,122.93,109.60,67.30,107.40,107.40,
24/07/12,01:04,25:07,46.30,46.30,12:48,12:48,3.18,0.00,614,18.60,18.60,7.00,7.00,1.02,362,131.53,-14.70,67.30,-10.40,-10.40,
25/07/12,15:28,39:35,100.00,100.00,00:00,00:10,4.62,0.00,7,38.70,1000000.00,7.00,1000000.00,1.20,388,99.63,128.80,67.70,-178.40,179.10,
26/07/12,15:28,39:48,57.00,57.00,28:14,28:14,3.34,0.00,228,12.70,12.70,8.10,8.10,0.98,412,118.03,127.10,68.00,118.10,118.10,
27/07/12,14:24,38:55,60.20,60.20,26:41,26:41,4.42,0.00,45,11.20,11.20,21.10,21.10,1.02,439,97.13,141.80,68.00,141.40,141.40,
28/07/12,03:12,27:43,100.00,100.00,00:00,00:37,1.40,23.63,922,38.70,16.30,1000000.00,1.30,1.20,452,95.42,-50.30,68.40,-178.40,172.40,
29/07/12,08:00,32:21,57.80,57.80,20:40,20:40,4.82,0.00,1,21.20,21.20,12.90,12.90,1.08,486,112.43,-121.00,68.70,-128.40,-128.40,
30/07/12,20:16,44:47,73.10,73.10,31:44,31:44,5.02,0.00,21,1000000.00,1000000.00,1000000.00,1000000.00,3.64,497,24.52,53.70,69.10,65.60,65.60,
31/07/12,16:00,40:31,37.60,37.60,28:17,28:17,4.98,0.00,723,33.50,33.50,8.40,8.40,2.80,540,53.52,117.70,69.10,117.30,117.30,
01/08/12,00:32,25:03,60.10,60.10,13:09,13:09,6.16,0.00,502,8.30,8.30,11.50,11.50,2.50,609,52.42,-10.30,69.40,-15.70,-15.70,
02/08/12,21:52,46:19,56.80,56.80,34:12,34:12,6.62,0.00,836,19.40,19.40,10.50,10.50,3.60,618,19.43,30.20,69.80,28.50,28.50,
03/08/12,08:32,32:44,60.10,60.10,20:38,20:38,3.90,0.00,57,9.20,9.20,10.80,10.80,2.72,661,57.73,-128.00,70.10,-128.00,-128.00,
04/08/12,18:40,43:03,60.20,60.20,30:51,30:51,5.16,0.00,627,9.50,9.50,9.90,9.90,3.62,706,63.02,78.60,70.50,78.70,78.70,
05/08/12,16:00,39:52,100.00,100.00,00:00,00:00,6.04,0.00,101,38.70,38.70,9.90,9.90,4.10,760,77.03,122.50,70.80,-178.50,-178.50,
06/08/12,01:04,25:35,60.80,60.80,13:19,13:19,6.70,0.00,156,13.70,13.70,13.80,13.80,5.54,774,75.83,-18.40,70.80,-18.30,-18.30,
07/08/12,15:28,39:59,61.20,61.20,27:41,27:41,5.34,0.00,1437,15.40,15.40,17.20,17.20,5.30,850,43.13,125.50,71.20,126.20,126.20,
08/08/12,15:51,39:59,61.40,61.40,27:37,27:37,4.42,0.00,1200,8.10,8.10,7.50,7.50,4.40,926,28.52,122.60,71.50,127.10,127.10,
09/08/12,23:28,47:46,60.10,60.10,35:34,35:34,2.80,0.00,509,8.10,8.10,7.50,7.50,1.56,975,48.42,7.10,71.90,7.80,7.80,
10/08/12,00:33,24:22,62.40,62.40,12:11,12:11,18.36,0.00,440,9.60,9.60,11.00,11.00,3.36,1088,63.42,-5.60,72.20,-1.40,-1.40,
11/08/12,18:40,43:11,62.40,62.40,30:56,30:56,6.52,0.00,886,13.10,13.10,12.20,12.20,5.54,1144,62.33,77.40,72.60,77.30,77.30,
12/08/12,19:44,43:38,60.20,60.20,31:41,31:41,6.54,0.00,113,22.30,22.30,13.30,13.30,6.04,1248,55.63,66.00,72.90,66.00,66.00,
13/08/12,01:04,25:30,60.30,60.30,13:16,13:16,26.02,0.00,132,17.90,17.90,10.30,10.30,5.72,1294,57.02,-18.10,73.30,-17.80,-17.80,
14/08/12,00:34,24:31,63.10,63.10,12:32,12:32,7.24,0.00,867,12.20,12.20,12.20,12.20,6.12,1350,59.23,-7.00,73.70,-6.90,-6.90,
15/08/12,21:52,45:28,59.50,59.50,33:48,33:48,7.06,0.00,595,12.40,12.40,6.20,6.20,5.98,1488,59.02,36.10,74.00,34.10,34.10,
16/08/12,19:44,44:15,61.30,61.30,32:27,32:27,7.36,0.00,243,10.90,10.90,6.80,6.80,6.18,1564,69.72,61.10,74.40,54.30,54.30,
17/08/12,18:08,42:39,61.70,61.70,30:37,30:37,7.32,0.00,42,10.00,10.00,6.50,6.50,6.36,1624,52.92,85.10,74.40,81.70,81.70,
18/08/12,03:44,28:15,68.20,68.20,14:44,14:44,7.42,0.00,1406,4.20,4.20,9.90,9.90,6.54,1674,59.73,-58.90,74.70,-40.10,-40.10,
19/08/12,21:52,46:01,60.40,60.40,34:11,34:11,7.40,0.00,224,16.30,16.30,8.00,8.00,6.62,1816,55.13,31.70,75.40,28.10,28.10,
20/08/12,23:41,44:38,55.50,55.50,33:48,33:48,7.46,0.00,1314,10.10,10.10,3.70,3.70,7.04,1926,65.13,28.40,74.40,33.80,33.80,
21/08/12,20:54,44:22,65.60,65.60,34:04,34:04,7.34,0.00,1349,8.10,8.10,8.70,8.70,6.44,2066,75.33,51.20,75.80,29.70,29.70,
22/08/12,24:11,43:48,59.10,59.10,34:28,34:28,7.40,0.00,1,9.60,9.60,4.10,4.10,6.92,2109,62.92,30.80,73.70,23.60,23.60,
