TimeS,IntTemp,WetDryState,
13:44:59 08/06/12,19.92,1,
13:49:59 08/06/12,19.92,1,
13:54:59 08/06/12,19.92,1,
13:59:59 08/06/12,19.92,1,
14:04:59 08/06/12,19.92,1,
14:09:59 08/06/12,19.92,1,
14:14:59 08/06/12,19.92,1,
14:19:59 08/06/12,19.92,1,
14:24:59 08/06/12,19.92,1,
14:29:59 08/06/12,19.92,1,
14:34:59 08/06/12,19.92,1,
14:39:59 08/06/12,19.92,1,
14:44:59 08/06/12,19.92,1,
14:49:59 08/06/12,19.92,1,
14:54:59 08/06/12,19.92,1,
14:59:59 08/06/12,19.92,1,
15:04:59 08/06/12,19.92,1,
15:09:59 08/06/12,19.92,1,
15:14:59 08/06/12,19.92,1,
15:19:59 08/06/12,19.92,1,
15:24:59 08/06/12,19.92,1,
15:29:59 08/06/12,19.92,1,
15:34:59 08/06/12,19.92,1,
15:39:59 08/06/12,19.92,1,
15:44:59 08/06/12,19.92,1,
15:49:59 08/06/12,19.92,1,
15:54:59 08/06/12,19.92,1,
15:59:59 08/06/12,19.92,1,
16:04:59 08/06/12,19.92,1,
16:09:59 08/06/12,19.92,1,
16:14:59 08/06/12,19.92,1,
16:19:59 08/06/12,19.92,1,
16:24:59 08/06/12,19.92,1,
16:29:59 08/06/12,19.92,1,
16:34:59 08/06/12,19.92,1,
16:39:59 08/06/12,19.92,1,
16:44:59 08/06/12,19.92,1,
16:49:59 08/06/12,19.92,1,
16:54:59 08/06/12,19.92,1,
16:59:59 08/06/12,19.92,1,
17:04:59 08/06/12,19.92,1,
17:09:59 08/06/12,19.92,1,
17:14:59 08/06/12,19.92,1,
17:19:59 08/06/12,19.92,1,
17:24:59 08/06/12,19.92,1,
17:29:59 08/06/12,19.92,1,
17:34:59 08/06/12,19.92,1,
17:39:59 08/06/12,19.92,1,
17:44:59 08/06/12,19.92,1,
17:49:59 08/06/12,19.92,1,
17:54:59 08/06/12,19.92,1,
17:59:59 08/06/12,19.92,1,
18:04:59 08/06/12,19.92,1,
18:09:59 08/06/12,19.92,1,
18:14:59 08/06/12,19.92,1,
18:19:59 08/06/12,19.92,1,
18:24:59 08/06/12,19.92,1,
18:29:59 08/06/12,19.92,1,
18:34:59 08/06/12,19.92,1,
18:39:59 08/06/12,19.92,1,
18:44:59 08/06/12,19.92,1,
18:49:59 08/06/12,19.92,1,
18:54:59 08/06/12,19.92,1,
18:59:59 08/06/12,19.92,1,
19:04:59 08/06/12,19.92,1,
19:09:59 08/06/12,19.92,1,
19:14:59 08/06/12,19.92,1,
19:19:59 08/06/12,19.92,1,
19:24:59 08/06/12,19.92,1,
19:29:59 08/06/12,19.92,1,
